2024-06-15 12:05:45.768 Event: Pod Created, Pod: alertmanager-prometheus-kube-prometheus-alertmanager-0, Namespace: default, Node: minikube-m02, Timestamp: 1718453145.7685564
2024-06-15 12:30:34.845 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-ppzpq, Namespace: default, Node: minikube, Timestamp: 1718454634.8452387
2024-06-15 12:30:34.854 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-79krl, Namespace: default, Node: minikube-m02, Timestamp: 1718454634.8540874
2024-06-15 12:30:34.874 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-xgtzg, Namespace: default, Node: minikube-m04, Timestamp: 1718454634.8747556
2024-06-15 12:30:34.895 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-xgtzg, Namespace: default, Node: minikube-m04, Timestamp: 1718454634.8955224
2024-06-15 12:30:34.909 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-zz9tx, Namespace: default, Node: minikube, Timestamp: 1718454634.909973
2024-06-15 12:30:34.919 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-zkf45, Namespace: default, Node: minikube-m03, Timestamp: 1718454634.919025
2024-06-15 12:30:34.949 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-vw7nl, Namespace: default, Node: minikube-m04, Timestamp: 1718454634.949902
2024-06-15 12:30:34.953 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-84vlz, Namespace: default, Node: minikube-m03, Timestamp: 1718454634.9539628
2024-06-15 12:30:34.968 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-gv9n2, Namespace: default, Node: minikube-m04, Timestamp: 1718454634.968624
2024-06-15 12:30:34.978 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-mbh7p, Namespace: default, Node: minikube-m03, Timestamp: 1718454634.9784791
2024-06-15 12:30:34.988 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-hwrqb, Namespace: default, Node: minikube-m04, Timestamp: 1718454634.988248
2024-06-15 12:30:35.006 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-hwrqb, Namespace: default, Node: minikube-m04, Timestamp: 1718454635.006942
2024-06-15 12:30:35.010 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-czgjc, Namespace: default, Node: minikube, Timestamp: 1718454635.0101728
2024-06-15 12:30:35.017 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-d77mt, Namespace: default, Node: minikube-m02, Timestamp: 1718454635.0176208
2024-06-15 12:30:35.036 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-79krl, Namespace: default, Node: minikube-m02, Timestamp: 1718454635.0369446
2024-06-15 12:30:35.048 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-79krl, Namespace: default, Node: minikube-m02, Timestamp: 1718454635.0484383
2024-06-15 12:30:35.060 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-d8jwq, Namespace: default, Node: minikube-m04, Timestamp: 1718454635.060036
2024-06-15 12:30:35.076 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-vw7nl, Namespace: default, Node: minikube-m04, Timestamp: 1718454635.0765486
2024-06-15 12:30:35.088 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-d77mt, Namespace: default, Node: minikube-m02, Timestamp: 1718454635.0883245
2024-06-15 12:30:35.101 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-rktfn, Namespace: default, Node: minikube-m04, Timestamp: 1718454635.101331
2024-06-15 12:30:35.114 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-qjwmk, Namespace: default, Node: minikube-m02, Timestamp: 1718454635.1143026
2024-06-15 12:30:35.126 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-2brqd, Namespace: default, Node: minikube-m02, Timestamp: 1718454635.1268485
2024-06-15 12:30:35.135 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-2brqd, Namespace: default, Node: minikube-m02, Timestamp: 1718454635.1354806
2024-06-15 12:30:35.177 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-xgtzg, Namespace: default, Node: minikube-m04, Timestamp: 1718454635.177946
2024-06-15 12:30:35.245 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-pxpxj, Namespace: default, Node: minikube-m02, Timestamp: 1718454635.245023
2024-06-15 12:30:35.303 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-vw7nl, Namespace: default, Node: minikube-m04, Timestamp: 1718454635.3032892
2024-06-15 12:30:35.322 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-d77mt, Namespace: default, Node: minikube-m02, Timestamp: 1718454635.3227198
2024-06-15 12:30:35.337 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-hjk5b, Namespace: default, Node: minikube-m04, Timestamp: 1718454635.337707
2024-06-15 12:30:35.508 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-bg85q, Namespace: default, Node: minikube-m03, Timestamp: 1718454635.5081463
2024-06-15 12:30:35.691 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-wht4b, Namespace: default, Node: minikube-m03, Timestamp: 1718454635.6910863
2024-06-15 12:30:35.700 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-2ghkc, Namespace: default, Node: minikube-m04, Timestamp: 1718454635.7000303
2024-06-15 12:30:35.706 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-vcwd9, Namespace: default, Node: minikube, Timestamp: 1718454635.7063718
2024-06-15 12:30:35.820 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-5nrn2, Namespace: default, Node: minikube, Timestamp: 1718454635.8201895
2024-06-15 12:30:35.832 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-56jdh, Namespace: default, Node: minikube-m02, Timestamp: 1718454635.83252
2024-06-15 12:30:35.878 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-sg664, Namespace: default, Node: minikube, Timestamp: 1718454635.8785925
2024-06-15 12:30:35.886 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-pmpv7, Namespace: default, Node: minikube-m04, Timestamp: 1718454635.8862274
2024-06-15 12:30:35.908 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-5nrn2, Namespace: default, Node: minikube, Timestamp: 1718454635.9083815
2024-06-15 12:30:35.934 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-bg85q, Namespace: default, Node: minikube-m03, Timestamp: 1718454635.9341984
2024-06-15 12:30:35.945 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-27tlp, Namespace: default, Node: minikube, Timestamp: 1718454635.9453125
2024-06-15 12:30:35.948 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-7bvz5, Namespace: default, Node: minikube-m03, Timestamp: 1718454635.9487956
2024-06-15 12:30:35.960 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-bg85q, Namespace: default, Node: minikube-m03, Timestamp: 1718454635.9601202
2024-06-15 12:30:35.969 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-czgjc, Namespace: default, Node: minikube, Timestamp: 1718454635.9697862
2024-06-15 12:30:35.986 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-sg664, Namespace: default, Node: minikube, Timestamp: 1718454635.9869006
2024-06-15 12:30:35.997 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-wht4b, Namespace: default, Node: minikube-m03, Timestamp: 1718454635.997075
2024-06-15 12:30:36.004 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-ppzpq, Namespace: default, Node: minikube, Timestamp: 1718454636.004372
2024-06-15 12:30:36.016 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-ppzpq, Namespace: default, Node: minikube, Timestamp: 1718454636.016894
2024-06-15 12:30:36.028 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-zkf45, Namespace: default, Node: minikube-m03, Timestamp: 1718454636.0281487
2024-06-15 12:30:36.050 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-jbswf, Namespace: default, Node: minikube-m02, Timestamp: 1718454636.050621
2024-06-15 12:30:36.054 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-2ghkc, Namespace: default, Node: minikube-m04, Timestamp: 1718454636.0541563
2024-06-15 12:30:36.057 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-27tlp, Namespace: default, Node: minikube, Timestamp: 1718454636.0576942
2024-06-15 12:30:36.066 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-wht4b, Namespace: default, Node: minikube-m03, Timestamp: 1718454636.0668344
2024-06-15 12:30:36.078 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-qjwmk, Namespace: default, Node: minikube-m02, Timestamp: 1718454636.0783658
2024-06-15 12:30:36.081 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-gv9n2, Namespace: default, Node: minikube-m04, Timestamp: 1718454636.0818853
2024-06-15 12:30:36.084 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-vcwd9, Namespace: default, Node: minikube, Timestamp: 1718454636.084914
2024-06-15 12:30:36.097 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-vcwd9, Namespace: default, Node: minikube, Timestamp: 1718454636.0972183
2024-06-15 12:30:36.100 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-gv9n2, Namespace: default, Node: minikube-m04, Timestamp: 1718454636.1005933
2024-06-15 12:30:36.103 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-qjwmk, Namespace: default, Node: minikube-m02, Timestamp: 1718454636.1035435
2024-06-15 12:30:36.122 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-84vlz, Namespace: default, Node: minikube-m03, Timestamp: 1718454636.1223068
2024-06-15 12:30:36.135 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-fbgxx, Namespace: default, Node: minikube-m02, Timestamp: 1718454636.1359363
2024-06-15 12:30:36.166 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-zz9tx, Namespace: default, Node: minikube, Timestamp: 1718454636.166208
2024-06-15 12:30:36.175 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-2ghkc, Namespace: default, Node: minikube-m04, Timestamp: 1718454636.1759381
2024-06-15 12:30:36.179 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-fbgxx, Namespace: default, Node: minikube-m02, Timestamp: 1718454636.179202
2024-06-15 12:30:36.202 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-zz9tx, Namespace: default, Node: minikube, Timestamp: 1718454636.2024758
2024-06-15 12:30:36.206 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-7bvz5, Namespace: default, Node: minikube-m03, Timestamp: 1718454636.206517
2024-06-15 12:30:36.224 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-7bvz5, Namespace: default, Node: minikube-m03, Timestamp: 1718454636.2243602
2024-06-15 12:30:36.228 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-pmpv7, Namespace: default, Node: minikube-m04, Timestamp: 1718454636.2284975
2024-06-15 12:30:36.233 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-jbswf, Namespace: default, Node: minikube-m02, Timestamp: 1718454636.233189
2024-06-15 12:30:36.260 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-czgjc, Namespace: default, Node: minikube, Timestamp: 1718454636.260638
2024-06-15 12:30:36.263 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-rktfn, Namespace: default, Node: minikube-m04, Timestamp: 1718454636.2639444
2024-06-15 12:30:36.267 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-56jdh, Namespace: default, Node: minikube-m02, Timestamp: 1718454636.267076
2024-06-15 12:30:36.303 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-56jdh, Namespace: default, Node: minikube-m02, Timestamp: 1718454636.3034222
2024-06-15 12:30:36.306 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-rktfn, Namespace: default, Node: minikube-m04, Timestamp: 1718454636.3066933
2024-06-15 12:30:36.335 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-sg664, Namespace: default, Node: minikube, Timestamp: 1718454636.3352473
2024-06-15 12:30:36.353 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-bcr4s, Namespace: default, Node: minikube-m02, Timestamp: 1718454636.3530626
2024-06-15 12:30:36.370 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-hjk5b, Namespace: default, Node: minikube-m04, Timestamp: 1718454636.370883
2024-06-15 12:30:36.379 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-27tlp, Namespace: default, Node: minikube, Timestamp: 1718454636.379978
2024-06-15 12:30:36.383 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-hjk5b, Namespace: default, Node: minikube-m04, Timestamp: 1718454636.383077
2024-06-15 12:30:36.391 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-sxd26, Namespace: default, Node: minikube-m02, Timestamp: 1718454636.3917954
2024-06-15 12:30:36.407 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-5nrn2, Namespace: default, Node: minikube, Timestamp: 1718454636.4079154
2024-06-15 12:30:36.412 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-pxpxj, Namespace: default, Node: minikube-m02, Timestamp: 1718454636.4125159
2024-06-15 12:30:36.415 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-d8jwq, Namespace: default, Node: minikube-m04, Timestamp: 1718454636.415619
2024-06-15 12:30:36.423 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-pxpxj, Namespace: default, Node: minikube-m02, Timestamp: 1718454636.4235544
2024-06-15 12:30:36.427 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-d8jwq, Namespace: default, Node: minikube-m04, Timestamp: 1718454636.4270291
2024-06-15 12:30:36.444 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-vnwxd, Namespace: default, Node: minikube, Timestamp: 1718454636.444948
2024-06-15 12:30:36.457 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-pmpv7, Namespace: default, Node: minikube-m04, Timestamp: 1718454636.457111
2024-06-15 12:30:36.461 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-d2hqq, Namespace: default, Node: minikube-m03, Timestamp: 1718454636.461855
2024-06-15 12:30:36.466 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-64c7f, Namespace: default, Node: minikube, Timestamp: 1718454636.4669259
2024-06-15 12:30:36.471 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-jbswf, Namespace: default, Node: minikube-m02, Timestamp: 1718454636.4717135
2024-06-15 12:30:36.492 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-2kc4l, Namespace: default, Node: minikube-m03, Timestamp: 1718454636.4921167
2024-06-15 12:30:36.510 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-q955w, Namespace: default, Node: minikube-m04, Timestamp: 1718454636.5108078
2024-06-15 12:30:36.520 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-9z52l, Namespace: default, Node: minikube-m02, Timestamp: 1718454636.520151
2024-06-15 12:30:36.530 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-rsxjq, Namespace: default, Node: minikube-m04, Timestamp: 1718454636.530797
2024-06-15 12:30:36.544 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-rlqrh, Namespace: default, Node: minikube-m02, Timestamp: 1718454636.5444784
2024-06-15 12:30:36.559 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-fr677, Namespace: default, Node: minikube-m03, Timestamp: 1718454636.559811
2024-06-15 12:30:36.570 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-jtfzj, Namespace: default, Node: minikube-m04, Timestamp: 1718454636.5704393
2024-06-15 12:30:36.584 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-xf5js, Namespace: default, Node: minikube, Timestamp: 1718454636.5846245
2024-06-15 12:30:36.605 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-2n78t, Namespace: default, Node: minikube, Timestamp: 1718454636.6058998
2024-06-15 12:30:36.633 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-s2d7g, Namespace: default, Node: minikube, Timestamp: 1718454636.633859
2024-06-15 12:30:36.641 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-4hxgh, Namespace: default, Node: minikube-m03, Timestamp: 1718454636.64195
2024-06-15 12:30:36.660 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-mn2nq, Namespace: default, Node: minikube-m02, Timestamp: 1718454636.660304
2024-06-15 12:30:36.663 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-qs8wr, Namespace: default, Node: minikube-m03, Timestamp: 1718454636.6638687
2024-06-15 12:30:36.682 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-wr2l7, Namespace: default, Node: minikube-m03, Timestamp: 1718454636.68279
2024-06-15 12:30:36.693 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-826pk, Namespace: default, Node: minikube-m03, Timestamp: 1718454636.6933134
2024-06-15 12:30:36.988 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-s2d7g, Namespace: default, Node: minikube, Timestamp: 1718454636.988821
2024-06-15 12:30:37.013 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-2n78t, Namespace: default, Node: minikube, Timestamp: 1718454637.0135584
2024-06-15 12:30:37.016 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-2n78t, Namespace: default, Node: minikube, Timestamp: 1718454637.0167851
2024-06-15 12:30:37.020 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-wr2l7, Namespace: default, Node: minikube-m03, Timestamp: 1718454637.0206738
2024-06-15 12:30:37.057 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-qs8wr, Namespace: default, Node: minikube-m03, Timestamp: 1718454637.0576916
2024-06-15 12:30:37.065 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-qs8wr, Namespace: default, Node: minikube-m03, Timestamp: 1718454637.0655403
2024-06-15 12:30:37.076 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-64c7f, Namespace: default, Node: minikube, Timestamp: 1718454637.076776
2024-06-15 12:30:37.090 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-q955w, Namespace: default, Node: minikube-m04, Timestamp: 1718454637.090953
2024-06-15 12:30:37.103 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-vnwxd, Namespace: default, Node: minikube, Timestamp: 1718454637.1033838
2024-06-15 12:30:37.115 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-2kc4l, Namespace: default, Node: minikube-m03, Timestamp: 1718454637.1152394
2024-06-15 12:30:37.128 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-rsxjq, Namespace: default, Node: minikube-m04, Timestamp: 1718454637.1285975
2024-06-15 12:30:37.137 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-2kc4l, Namespace: default, Node: minikube-m03, Timestamp: 1718454637.1378918
2024-06-15 12:30:37.164 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-s2d7g, Namespace: default, Node: minikube, Timestamp: 1718454637.1639974
2024-06-15 12:30:37.175 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-fr677, Namespace: default, Node: minikube-m03, Timestamp: 1718454637.1752183
2024-06-15 12:30:37.185 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-jtfzj, Namespace: default, Node: minikube-m04, Timestamp: 1718454637.1859066
2024-06-15 12:30:37.196 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-fr677, Namespace: default, Node: minikube-m03, Timestamp: 1718454637.1963818
2024-06-15 12:30:37.207 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-xf5js, Namespace: default, Node: minikube, Timestamp: 1718454637.2076144
2024-06-15 12:30:37.222 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-jtfzj, Namespace: default, Node: minikube-m04, Timestamp: 1718454637.222092
2024-06-15 12:30:37.229 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-xf5js, Namespace: default, Node: minikube, Timestamp: 1718454637.229318
2024-06-15 12:30:37.238 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-4hxgh, Namespace: default, Node: minikube-m03, Timestamp: 1718454637.238285
2024-06-15 12:30:37.248 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-4hxgh, Namespace: default, Node: minikube-m03, Timestamp: 1718454637.248564
2024-06-15 12:30:37.261 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-64c7f, Namespace: default, Node: minikube, Timestamp: 1718454637.261126
2024-06-15 12:30:37.280 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-bcr4s, Namespace: default, Node: minikube-m02, Timestamp: 1718454637.2800252
2024-06-15 12:30:37.287 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-d2hqq, Namespace: default, Node: minikube-m03, Timestamp: 1718454637.2869816
2024-06-15 12:30:37.296 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-9z52l, Namespace: default, Node: minikube-m02, Timestamp: 1718454637.2964787
2024-06-15 12:30:37.309 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-wr2l7, Namespace: default, Node: minikube-m03, Timestamp: 1718454637.3089955
2024-06-15 12:30:37.328 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-rlqrh, Namespace: default, Node: minikube-m02, Timestamp: 1718454637.328904
2024-06-15 12:30:37.341 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-rlqrh, Namespace: default, Node: minikube-m02, Timestamp: 1718454637.3417418
2024-06-15 12:30:37.353 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-826pk, Namespace: default, Node: minikube-m03, Timestamp: 1718454637.3535936
2024-06-15 12:30:37.372 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-826pk, Namespace: default, Node: minikube-m03, Timestamp: 1718454637.372942
2024-06-15 12:30:37.388 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-mn2nq, Namespace: default, Node: minikube-m02, Timestamp: 1718454637.3882008
2024-06-15 12:30:37.396 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-mn2nq, Namespace: default, Node: minikube-m02, Timestamp: 1718454637.3959875
2024-06-15 12:30:37.406 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-bcr4s, Namespace: default, Node: minikube-m02, Timestamp: 1718454637.4063513
2024-06-15 12:30:37.420 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-sxd26, Namespace: default, Node: minikube-m02, Timestamp: 1718454637.4207213
2024-06-15 12:30:37.428 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-676f6f6976-sxd26, Namespace: default, Node: minikube-m02, Timestamp: 1718454637.4284241
2024-06-15 12:30:45.397 Event: Pod Created, Pod: hello-50-instances-00001-deployment-7bc95cdb79-vjjjn, Namespace: default, Node: None, Timestamp: 1718454645.3976521
2024-06-15 12:30:45.411 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-7bc95cdb79-vjjjn, Namespace: default, Node: minikube-m02, Timestamp: 1718454645.4111593
2024-06-15 12:30:45.424 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-7bc95cdb79-vjjjn, Namespace: default, Node: minikube-m02, Timestamp: 1718454645.424308
2024-06-15 12:30:45.525 Event: Pod Created, Pod: hello-50-instances-00001-deployment-7bc95cdb79-lqrtx, Namespace: default, Node: None, Timestamp: 1718454645.525958
2024-06-15 12:30:45.539 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-7bc95cdb79-lqrtx, Namespace: default, Node: minikube-m03, Timestamp: 1718454645.5398133
2024-06-15 12:30:45.542 Event: Pod Created, Pod: hello-50-instances-00001-deployment-7bc95cdb79-kh2gk, Namespace: default, Node: None, Timestamp: 1718454645.542659
2024-06-15 12:30:45.547 Event: Pod Created, Pod: hello-50-instances-00001-deployment-7bc95cdb79-jt6fk, Namespace: default, Node: None, Timestamp: 1718454645.5477164
2024-06-15 12:30:45.552 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-7bc95cdb79-kh2gk, Namespace: default, Node: minikube-m04, Timestamp: 1718454645.5520353
2024-06-15 12:30:45.556 Event: Pod Created, Pod: hello-50-instances-00001-deployment-7bc95cdb79-wgvq2, Namespace: default, Node: None, Timestamp: 1718454645.5568733
2024-06-15 12:30:45.561 Event: Pod Created, Pod: hello-50-instances-00001-deployment-7bc95cdb79-wvh8g, Namespace: default, Node: None, Timestamp: 1718454645.5618768
2024-06-15 12:30:45.564 Event: Pod Created, Pod: hello-50-instances-00001-deployment-7bc95cdb79-xpmnp, Namespace: default, Node: None, Timestamp: 1718454645.5648296
2024-06-15 12:30:45.567 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-7bc95cdb79-jt6fk, Namespace: default, Node: minikube, Timestamp: 1718454645.5675
2024-06-15 12:30:45.569 Event: Pod Created, Pod: hello-50-instances-00001-deployment-7bc95cdb79-pd86s, Namespace: default, Node: None, Timestamp: 1718454645.5697129
2024-06-15 12:30:45.591 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-7bc95cdb79-wvh8g, Namespace: default, Node: minikube-m04, Timestamp: 1718454645.5914733
2024-06-15 12:30:45.594 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-7bc95cdb79-xpmnp, Namespace: default, Node: minikube-m02, Timestamp: 1718454645.594344
2024-06-15 12:30:45.597 Event: Pod Scheduled, Pod: hello-50-instances-00001-deployment-7bc95cdb79-wgvq2, Namespace: default, Node: minikube-m03, Timestamp: 1718454645.5970194
